Pre_surn	Pre_fore
Armistead	Edmund
Armistead	John
Armistead	Nathaniel
Armistead	Robert
Armistead	Thomas
Armisted	Jacobus
Armisted	Robertus
Armitage	Gulielmus
Armitage	Humfridus
Armitage	Joseph
Armitage	Richard
Armitreadinge	John
Armitstead	John
Armitstead	Nathaniel
Armitstead	Richard
Armitstead	Robert
Armitstead	Robertus
Armitstead	Thomas
Armond	Robertus
Armstead	Johannes
Armstead	Michael
Armstead	Michaelis
Armstead	Robert
Armstead	William
Armsted	Gulielmus
Armsted	John
Armstede	Willimus
Armstrong	
Armstrong	George Lancelot
Armstrong	Johannes
Armstrong	John
Armstrong	Matthew
Armstrong	Robert
Armstrong	Thomae
Armstrong	Thomas
Armstrong	Unknown
Armstrong	William
Armyn	Leonardus
Armystede	Willelmi
Armytridinge	Johannes
Armytt	William
Arnald	John
Arnald	Richard
Arnald	Roberti
Arnald	William
Arnam	John
Arnet	George
Arnett	George
Arnett	Georgius
Arnies	Thomas
Arnold	Andreas
Arnold	Charles
Arnold	Edmund
Arnold	Henry
Arnold	Henry Hamilton
Arnold	James William
Arnold	Johannes
Arnold	John
Arnold	Michael
Arnold	Michaelis
Arnold	Nicholas
Arnold	Samuel
Arnold	Thomas
Arnold	unknown
Arnold	William
Arnold	Willimus
Arnolde	Franciscus
Arnolde	Johannes
Arnolde	Robert
Arnolde	Thomas
Arnott	Samuel
Arnway	William
Arrow	John
Arrowsmith	Edward
Arrowsmith	John
Arrowsmith	Josephus
Arrowsmith	Thomae
Arrowsmith	Thomas
Arrundell	William
Arscott	Alneatus
Arscott	Halnetus
Arscott	Johannes
Arscott	Nicholaus
Arseley	Willimus
Arstly	Willimus
Artewycie	Edward
Arther	Robertus
Arthington	Johannes
Arthur	Georgius
Arthur	Richard
Arthur	Richardus
Arthur	Robert
Arthure	Georgius
Arthure	John
Artinstall	Roberti
Artis	Thomas
Artwyck	Edwardus
Artwyk	Edwardus
Arundel	Edmundus
Arundel	Nathaniel
Arundell	Alexandrus
Arundell	Edvardus
Arundell	Francis
Arundell	Thomas
Arundell	William
Arvey	William
Arwaker	Marci
Arwell	James
Arwin	John
As(h)ton	Peter
Asbridge	Jonathan
Ascam	Egidius
Ascham	Egidius
Ascham	Thomas
Ascough	Francis
Ascrope	Johannes
Asfordby	Caroli
Asfordby	unknown
Ash	John
