clerSurn	clerFore
Alcocke	Humfrey
Alcocke	Jo:
Alcocke	Johannes
Alcocke	John
Alcocke	Laurence
Alcocke	Laurentius
Alcocke	Lawrentius
Alcocke	Lodovicus
Alcocke	Petrus
Alcocke	Richard
Alcocke	Richardus
Alcocke	Robert
Alcocke	Thomas
Alcocke	Thurstan
Alcockson	Humphrey
Alcok	Thomas
Alcok	William
Alcoke	Joannes
Alcoke	Johannes
Alcoke	Richard
Alcoke	Richardus
Alcoke	Robertus
Alcoke	Thomas
Alcoke	Willelmus
Alcort	Edwin
Alcroft	Charles
Aldam	John
Aldams	Robertus
Aldcock	Thomas
Aldcroft	Carolus
Aldcroft	Charles
Aldem	Jo:
Aldem	Johannes
Aldem	not given
Alden	Georgius
Alden	Henricus
Alden	Henry
Alden	John
Alden	Thomas
Aldeney	John
Alder	Brian
