Surname	Forenames
Worth	Edward
Wren	Matthew
Wright	Robert
Wynne	John
Wytter	Daniel
Yngworth	Richard
Yonge	Philip
Yorke	James
Young	Alexander
Young	Edward
Young	John
Young	Matthew
Young	Thomas
