Surname	Forename
Armestone	Willimus
Armestrong	Johes
Armestronge	John
Armestronge	Richardus
Armetriding	James
Armetridinge	John
Armetsteade	William
Armett	John
Armett	Thomas
Armett	William
Armiger	Richard Meux
Armishawe	Robert
Armistead	Anthony
Armistead	Richard
Armistead	William
Armitage	Braithwaite
Armitage	Humphrey
Armitstead	James
Armitstead	John
Armitstead	Lawrence
Armi[t]stead	William
Armonde	Robert
Armount	Randle
Armstead	Robert
Armstead	William
Armsted	Christopher
Armsted	John
Armsted	William
Armstrong	Edward Pakenham
Armstrong	George Lancelot
Armstrong	Henry
Armstrong	Henry William Gleed
Armstrong	John
Armstrong	John
Armstrong	John
Armstrong	John
Armstrong	John
Armstrong	John
Armstrong	Matthew
Armstrong	Matthew
Armstrong	Robert
Armstrong	William
Armstrong	William
Armstrong	William
Armstrong	William
Armstrong	William
Armstrong	William
Armstrong	William Archibald
Armyn	William
Armytage	William
Arnald	John
Arnald	Richard
Arnald	William
Arnall	Jeremias
Arnesford	Thomas
Arnet	George
Arnett	William
Arneway	John
Arnfield	Thomas
Arnold	Adrianus
Arnold	Charles
Arnold	Charles
Arnold	Edmund
Arnold	Edward
Arnold	Frederick
Arnold	Guilielmus
Arnold	Henry
Arnold	Henry
Arnold	Henry Hamilton
Arnold	James William
Arnold	John
Arnold	John
Arnold	John
Arnold	John Mills
Arnold	Michael
Arnold	Richard
Arnold	Robertus
Arnold	Samuel
Arnold	Thomas
Arnold	Thomas
Arnold	Thomas
Arnold	Thomas
Arnold	Thomas Kerchever
Arnold	William
Arnold	William
Arnold	William
Arnold	William
Arnold	William Fillbridge
Arnolde	Nicholaus
Arnott	Samuel
Arnutt	William
Arnway	William
Arowsmith	Thomas
Arris	Rowland
Arrow	John
Arrowsmith	
Arrowsmith	Aaron
Arrowsmith	Edward
Arrowsmith	John
Arrowsmith	John
Arrowsmith	Joseph
Arrowsmith	Thomas
