Pre_surn	Pre_fore
Anderson	William
Anderson	William
Anderson	Willimus
Anderson	Willimus
Andersonne	Robertus
Anderton	Jacobus
Anderton	James
Anderton	Thomas
Anderton	Thomas
Anderton	unknown
Anderton	Willimus
Andreson	Henrici
Andreson	Henry
Andrew	
Andrew	James
Andrew	James
Andrew	James
Andrew	James
Andrew	James
Andrew	James
Andrew	Johannes
Andrew	Johannes
Andrew	John
Andrew	John
Andrew	Joseph
Andrew	Joseph
Andrew	Thomas
Andrew	Wilhelmus
Andrew	William
Andrewe	Johannes
Andrewes	Gerrard
Andrewes	Gerrard
Andrewes	Gerrard
Andrewes	Gerrard
Andrewes	Gerrard
Andrewes	Henricus
Andrewes	Johannes
Andrewes	Johnis
Andrewes	Josua
Andrewes	Josua
Andrewes	Lancelot
Andrewes	Lancelottus
Andrewes	Roger
Andrewes	Roger
Andrewes	Roger
Andrewes	Roger
Andrewes	Rogerus
Andrewes	Rogerus
Andrewes	Rogerus
Andrewes	Rogerus
Andrewes	Thomas
Andrewes	Thomas
Andrewes	unknown
Andrewes	unknown
Andrewes	Willimus
Andrewes	Willimus
Andrews	
Andrews	Benjamin
Andrews	Benjamin
Andrews	Charles
Andrews	Charles
Andrews	Charles
Andrews	Christoferus
Andrews	Edward William Roberts
Andrews	Gerard
Andrews	Gerard
Andrews	Gerrard
Andrews	Gulielmus
Andrews	Henricus
Andrews	Jacobi
Andrews	Jacobus
Andrews	Jacobus
Andrews	James
Andrews	James
Andrews	James
Andrews	James
Andrews	James
Andrews	James
Andrews	James
Andrews	James
Andrews	Johannes
Andrews	John
Andrews	John
Andrews	John
Andrews	John
Andrews	John
Andrews	John
Andrews	John
Andrews	John
Andrews	Joseph
Andrews	Joseph
Andrews	Lancelotus
Andrews	Nicholas
Andrews	Nicholaus
Andrews	Randal
Andrews	Randal
Andrews	Randle
Andrews	Richard
Andrews	Richard
Andrews	Richard
Andrews	Richard
Andrews	Richard
Andrews	Richard
Andrews	Richard
Andrews	Robert
Andrews	Robert
Andrews	Roberti
Andrews	Roberti
Andrews	Rogerus
Andrews	Thomae
