Element
(Blumholz)
(Commer) Francesco
Ambrosch, Ant.
Ambrosch, Franz C.
Ambrose, Paul
Ambrose, R.S.
Ambrosio, A de
Ambrosio, A. de
Ambrosio, A. d’
Ambrosioni, P.
Ambrosius (F.)
Ambrož, A.
Ambroz, Anton
Ambrož-Folberger
Ambro?i?, Franz
Ambühl, H.
Amelot
Amelot (B.)
Amelot (Madame)
Amelot (Mme.)
Amelot, Mme
Amer, J.
Amer, Jos.
Amer, Josef
Amersfoordt-Dyk, Hermina
Ames, J. Carlowitz
Ames, J.C.
Ames, John Carlowitz
Ames, R.
Amft, Georg
Amft, Robert
Amman, Michael
Ammer, Th.
Ammon, E.A.
Amon, Albert
Amon, J.
Amor, L.
Amory, A.H.
Amouroux, Charles
Amplewitz, R.
Amplewitz, Rud.F.
Amthor, W.
Amtmann (P.)
Amtmann (Prosp.)
Amtsberg, J.
An der Lahn, Hartmann v.
An der Lan, Hartmann v.
Ana, W.
Anacker
Anacker (A.F.)
Anacker (F.A.)
Anacker, A.
Anacker, A.F.
Anacker, F.
Anacker, F.A.
Anacker, Ferdinand
Anacker, Ferdinand.
Anacker, H.
Anacker, Wilhelm
Anargyro, J.N.
Anaya, Antonio
Ancker, Jules
Ancot
Ancot (L.)
Anda, Apolonio A. de
Anda, Apolonio Arroyo de
Anda, José Arroyo de
Andel (A. v.)
Andel (A.v.)
Ander (Al.)
Ander, A.
Ander, Adolf
Ander, Al.
Ander, E.
Anderl (Q.)
Anderl (Quir.)
Anderl, J.
Anders, A.
Anders, Friedrich
Anders, Hermann
Anders, N.J.
Anders, Oscar
Anders, Otto
Anders, W.
Andersch (R.)
Andersch, R.
Andersen, A.
Andersen, Alfred
Andersen, F.
Andersen, Joachim
Andersen, Ulrich
Andersen, Ulrik
Anderson, F.M.
Anderson, Johanna.
Anderss, A.
Andersson, Richard
Anderton, T.
Anding
Anding (G.)
Anding, G.
Anding, J.M.
Anding, M
Anding, M.
Andorff, M.C.R.
Andorff, Max
Andorff, Maxim. C.R.
Andorff, Maximilian C.R.
Andrade
Andrade (A.)
Andrade (Aug.)
Andrae, Max
André
André (A.)
André (Ant.)
André (Anton)
André (Aug.)
André (Barrault de Saint)
André (Barrault de St.)
André (J.A.)
André (J.B.)
André (Jean Baptiste)
André (Joh.)
André (Jul.)
André, A.
André, Adolf
André, Adolph
André, Ant.
André, Anton
André, Aug.
André, Carl
André, Carl.
André, E.
André, Ed.
Andre, J.
André, J.B
André, J.B.
André, Jean Baptiste
André, Joh. Bapt.
André, Johann.
André, Jul
André, Jul.
André, Jules
André, Julius
André, K.
André, Ludwig
André, Ludwig.
André, Paul
Andreae, Oscar
Andreae, Volkmar.
Andreatini (L.)
Andreatini (Luc.)
Andreatta (P.)
Andrelang (A.)
Andrelang (Ant.)
Andreoli, Ch.
Andreoli, F.
Andreoli, G.
Andreoli, Gugl.
Andreoli, Guill.
Andresen, J.H.
Andresen, Joh. C.
Andresen, Joh. H.
Andrews, Bond
Andrich, G.
Andrzejkówicz, Léontine d’
Aner (Leop.)
Anerio
Anerio, F.
Anerio, Felice
Anerio, Francesco
Anerio, G.F.
Anerio, Giovanni Francesco
Anerio, J.Franc.
Angel (Ed.)
Angeleri, A.
Angelina
Angelini, L.
Angelis, Gerolamo de
Angelotti, Wilhelm
Angely
Angely, Louis
Anger
Anger (L.)
Anger (Louis)
Anger, Arno
Anger, B.
Anger, Franz
Anger, L.
Anger, M.
Anger, Mor.
Anger, Moric
Anger, Moritz
Anger, Oscar
Anger, Walther
Angerer jun., Ernst
Angerer, E.R.
Angerer, Ernst
Angerer, Ernst R.
Angerer, Franz
Angerer, Gottfried
Angerer, Gottfried.
Angerer, Jos.
Angermann (F.)
Angermann (Fr.)
Angermann, F.
Angermann, Fr.
Angyal, A.
Angyal, Arm.
Angyal, Armand
Angyal, Arminius
Anhalt, W.
Anhalt, Wilh.
Anheim, Alfred
Anichini, F.
Anlauf, Richard
Anna Jonas
Annacker, A.F.
Annato (F.)
Annato (Fr.)
Annenkoff, P.
Annib. Stabile
Annibale, M.
Annin, E.
Ansbach (J. G. Ch.)
Anschuez (C.)
Anschütz (C.)
Anschütz (E.)
Anschütz, C.
Anschütz, Fr.
Anschütz, Fr.W.
Anschütz, J.A.
Anschüz (C.)
Anschüz (J.A.)
Anselm, C.
Anselm, J.
Ansorge, Conrad
Ansorge, Conrad.
Ansorge, Max
Ansorge, Max.
Anspach, G. Chr.
Anspach, G.Chr.
Ant. Förster
Ant. Stelzmann
Antal Nemesovits
Antandol
Anthes
Anthieme Eugène
Anthiome (Eugène)
Anthiome, (Eugène)
Anthiome, E.
Anthiome, Ed.
Anthiome, Eug.
Anthiome, Eugène
Anthoin (F. d’)
Antipow, C.
Antoinassy, Th.
Antoine, Eug.
Anton
Anton (J.D)
Anton (J.D.)
Anton Mahr
Anton Rubinstein
Anton, C.
Antoni, M.
Antoniassi, Th.
Antonietti, D.
Antoniewicz, J.
Antonio Caldara
Antonius
Antonius, Otto
Antonius, Rudolf
Antonius, W.
Antonowitsch, N.
Antony (Joseph)
Antony, Johann
Antosch, Anton
Antropp, Carl
Antweiler (E.)
Antwerpen (J.F.)
Antzeff, M.
Anzelmo, Gaetano
Anzoletti (Franc.)
Anzoletti, F.
Anzoletti, Joseph
Anzoletti, Joseph.
Anzoletti, Marco
Apache
Apel, A.
Apel, C.
Apel, C.G.
Apel, E.
Apel, Ernst
Apel, G.C.
Apel, Gustav
Apel, Otto
Apelt, C.
Apetz, G.
Apfelstedt, P.
Apfelstedt, Paul
Apian
Apitius
Apitius (C)
Apitius (C.)
Apitius jun., C.
Apitius sen., C.
Apitius, C.
Apitius, K
Apitius, K.
Apitz, Gustav
Apletschéieff, A. d’
Apolleni, G.
Apolloni, G.
Apolloni, Gius.
Appel
Appel (C.)
Appel (Ch.)
Appel (K.)
Appel, C.
Appel, Carl
Appel, K.
Appel, Karl
Appel, Karl Fr.
Appiani (Eugenia)
Appiani, Eugenia
Appun
Appun (G.)
Appun, G.
Appunn
Appunn, G.
Appunn, Georg
Appunn. G.
Appy, Ernest
Aprile (D.G.)
Aprile, B.G.
Aprile, D.G.
Aprile, G.
Apsen, Andreas
Aptommas
Aradi, Louis
Aragon, Ignacio T.
Aranda, Felipe C.
Araujo, Luis G.
Arban
Arban, A.
Arban, J.B.
Arban, Lara
Arban, P.
Arbesser, Alfred
Arbolt
Arcadelt
Arcadelt, Jakob
Arcadia
Arcangelo Corelli
Arcangelo, del Leuto
Archambeau, Ed. d’
Archambeau, J.M. de
Archambeau, J.M. d’
Archambeau, J.M.de
Archangelsky, P.
Arco, S.F.
ardenecker, A.
Arditi
Arditi (L.)
Arditi (Luigi)
Arditi (M.)
Arditi, (L.)
Arditi, L.
Arditi, Luigi
Arends, H.
Arendt
Arendt, C.
Arendt, H.
Arendt, J.
Arendt, Max
Arendt, W.
Arendt, Wilhelm
Arens, Hans
Arensen, A.
Arensen, Ad.
Arensen, Adolf
Arensky, A.
Arensky, Ant.
Arénsky, Antoine
Arensky, Anton
Arenson, Ad.
Arenson, Ad. A.
Arenstamm, Heinrich
Argauer, Wilh.
Argauer, Wilhelm
Argenton (Ant. d’)
Argenton, A. d’
Argenton, Ant. d’
Argenton, Ant. d’.
Argenton, Antonin d’
Argo, Arthur
Argopoulos, Th.
Arien (Gust. d’)
Arien, G. d’
Arien, G.d’
Arienzo, N. de
Arieta (Em.G.)
Arietta (E.)
Ariosti, Attilio
Ark, C. v.
Ark, Charles van
Arlberg, Fritz
Arlet (Alex.)
Arlet (L.)
Arlet, Al.
Arlot (J.)
Armand, A.
Armand, J.O.
Armand, L.F.
Armand, Valentin
Armanoldi, B.
Armansperg (Marie d’)
Armbrust
Armbrust (G.)
Armbrust, Carl
Armbrust, G.
Armin, Josef.
Arming, F.
Armingaud (J.)
Armingaud, J.
Armingaud. J.
Arminius, F.E.
Armknecht, W.
Armsdorff (A.)
Armsheimer, J.
Armster, H
Armster, H.
Armstrong, Wm. D.
Arnaud
Arnaud (E.)
Arnaud (Et.)
Arnaud (Etien.)
Arnaud (Etienne)
Arnaud (F.)
Arnaud, Achille
Arnaud, E.
Arnaud, Et
Arnaud, Et.
Arnaud, Etienne
Arnaud, Gennaro
Arnaud, J.
Arnaud. E
Arnaud. J.
Arnberger, Carl Ed.
Arndt, Albert
Arndt, C.
Arndt, J.C.
Arndt, K.
Arndt, Otto
Arndts, M.
Arndts, Maria v.
Arndts, Maria, (geb. Vespermann,)
Arndts, Maria, (Maria Vespermann-Görres,)
Arne (Dr.)
Arnemann, Louis
Arnemann, Ludwig
Arnemann, Ludwig.
Arnfelser, F.
Arnfelser, Fr.
Arnfelser, Franz
Arnhold, E.
Arnim (Bettine)
Arnim, Curt v.
Arnim, H. v.
Arno, Felix
Arnold
Arnold (C.)
Arnold (F.W.)
Arnold (Yourij von)
Arnold Mendelssohn
Arnold Schick
Arnold, Aug.
Arnold, C.
Arnold, Carl
Arnold, Ernst
Arnold, F.W.
Arnold, Fr.
Arnold, Franç.
Arnold, Franz
Arnold, Frç.
Arnold, Fridolin
Arnold, Frz.
Arnold, G.
Arnold, Gustav
Arnold, H.
Arnold, J.
Arnold, J.G.
Arnold, J.S.
Arnold, Jos.
Arnold, K.
Arnold, Marie
Arnold, Maurice
Arnold, O.
Arnold, Péter
Arnold, R.
Arnold, Rob.
Arnold, Robert
Arnold, Victor
Arnold, Y. v.
Arnold, Yourij d’
Arnold. Jos.
Arnold. Rob.
Arnoldi, Carl
Arnoud (Jules)
Arnoud, J.
Arnoud, Jules
Arnstein (Ant.)
Arnstein, Alex.
Aromatari, Ed.
Aron, Emil
Aron, F.
Arons, Felix
Arpád, J.
Arredondo, Eugenio
Arrieta (E.)
Arrieta, E.
Arrigo, Giuseppe
Artaria, Rudolf
Artciboucheff, N.
Artciboucheff, Nicolas
Artemieff, N.
Artemieff, Nicolai
Artemjeff, N.
Artes (C.F.)
Arth. Napoleon
Arthur Seidel
Arthur Seuffart
Artiti (L.)
Artmann, H.
Artot (J.)
Artôt, D.
Artot, J.
Artöt, J.D.
Artus (A.)
Artus (Amed.)
Artus, Felix
Artus, Felix.
Artzt, Hugo
Arx, D. v.
Arzoletti, F.
Asantchewsky, M. v.
Asantschewski, M. v
Asantschewski, M. v.
Asantschewsky (M.)
Asantschewsky, M.
Asantschewsky, M. v.
Asarch, S.
Asbahr, G.
Asbahr, Georg
