		C	P	P		7003163	4010045
		C	P	P		7003168	4010067
		C	P	P		7003165	4010288
		C	P	P		7003163	4010336
		C	P	P		7003167	4010338
		C	P	P		7003163	4010360
		C	P	P		7003167	4010671
		C	P	P		1003473	4011334
		C	P	P		7003163	4011352
		C	P	P		7003167	4011602
		C	P	P		7009760	4011603
		C	P	P		1003473	4011735
		C	P	P		7003165	4011776
		C	P	P		7003168	4011913
		C	P	P		7003163	5002255
		C	P	P		7003163	5002811
		C	P	P		7003168	5002812
		C	P	P		7003168	5002824
		C	P	P		7003163	5002825
		C	P	P		7003162	5002835
		C	P	P		7003167	5002844
		C	P	P		7003162	5002845
		C	P	P		7003162	5002848
		C	P	P		7000457	5002851
		C	P	P		7000457	5002856
		C	P	P		7003167	5002857
		C	P	P		7003163	5002859
		C	P	P		7003163	5002866
		C	P	P		7003163	5002871
		C	P	P		7003163	5002872
		C	P	P		7003163	5002873
		C	P	P		7003162	5002876
		C	P	P		7009760	5002884
		C	P	P		7003163	5002885
		C	P	P		7003162	5002887
		C	P	P		7003163	5002890
		C	P	P		7003163	5002891
		C	P	P		7003163	5002892
		C	P	P		7003163	5002893
		C	P	P		7003163	5002894
		C	P	P		7003166	5002895
		C	P	P		7003162	5002898
		C	P	P		7003163	5002899
		C	P	P		7003163	5002901
		C	P	P		7003163	5002902
		C	P	P		7003163	5002903
		C	P	P		7000457	5002904
		C	P	P		7003163	5002905
		C	P	P		7003163	5002906
		C	P	P		7000457	5002909
		C	P	P		7003163	5002912
		C	P	P		7003163	5002914
		C	P	P		7003163	5002915
		C	P	P		7003163	5002918
		C	P	P		7003163	5002919
		C	P	P		7003163	5002920
		C	P	P		7003163	5002921
		C	P	P		7000457	5002922
		C	P	P		7003163	5002923
		C	P	P		7003163	5002924
		C	P	P		7003163	5002926
		C	P	P		7003163	5002927
		C	P	P		7003163	5002928
		C	P	P		7000457	5002929
		C	P	P		7003163	5002930
		C	P	P		7003163	5002931
