1000000		7006076	M	7003165	A	Located in Serchio river valley, near the Ligurian Sea. Was settled by Ligurians and was later an Etruscan center; Romans probably established colony here in 180 BCE. It was ruled by Goths from CE 476, Byzantines, Lombards & Franks from 774. Lucca was an independent republic from 1118 until Napoleon I made it a principality in 1805. In 1817 it became part of the duchy of Parma and in 1847 part of the grand duchy of Tuscany. Lucca was annexed to the kingdom of Sardinia in 1860.	1		7006076
1000000		7006077	M	1003473	A	Located on the Carrione river; gained importance as marble-quarrying center, noted for fine white marble suitable for sculpture; was important medieval center; was center of Massa-Carrara principality & duchy (after 1633).	1		7006077
1000000		7006080	M	1003460	A	Was probably founded by the Etruscans; gained stature in 9th cen., when episcopal see was transferred here from Populonia; destroyed by Saracens in 935; was at war with Pisa & Siena in Middle Ages; was birthplace of St. Bernardino da Siena in 1380.	1		7006080
1000000		7006082	M	7003166	A	Located on Arno river, six miles from Ligurian sea, it was developed as Roman naval base. It became a leading medieval city-state and maritime power; made commercial contacts in Syria during the 11th-century Crusades. Pisa was a Ghibelline stronghold; a series of wars was fought from the mid-13th century through the early 14th century between Guelf-controlled Florence and allies (Montepulciano, Bologna, and Orvieto) and their Ghibelline opponents (Pisa, Siena, Pistoia, and Arezzo). Pisa was held by Florence from the 15th century.	1		7006082
1000000		7006107	M	7003162	A		1		7006107
1000000		7006109	M	7003162	A		1		7006109
1000000		7006110	M	7003162	A		1		7006110
1000000		7006111	M	7003162	A		1		7006111
1000000		7006112	M	7003162	A		1		7006112
1000000		7006113	M	7003162	A		1		7006113
1000000		7006114	M	7003162	A		1		7006114
1000000		7006115	M	7003162	A		1		7006115
1000000		7006116	M	7003162	A		1		7006116
1000000		7006117	M	7003162	A		1		7006117
1000000		7006118	M	7003162	A		1		7006118
1000000		7006119	M	7003162	A		1		7006119
1000000		7006120	M	7003162	A	Located on a hillside; was one of the 12 original Etruscan cities; was confederated with Rome in 310 BCE; taken by Vandals in 405 CE; became part of Grand Duchy of Tuscany after a siege by Pope Clement VII and Emperor Charles V in 1529.	1		7006120
1000000		7006121	M	7003162	A		1		7006121
1000000		7006122	M	7003162	A	Hill town with broad view of the Val di Chiana; was an ancient Etrusco-Roman center; later was an important medieval center; modern town retains many medieval buildings.	1		7006122
1000000		7006123	M	7003162	A		1		7006123
1000000		7006124	M	7000457	A		1		7006124
1000000		7006125	M	7000457	A		1		7006125
1000000		7006126	M	7000457	A		1		7006126
1000000		7006128	M	7000457	A		1		7006128
1000000		7006129	N	7000457	A		1		7006129
1000000		7006130	N	7000457	A		1		7006130
1000000		7006131	N	7000457	A		1		7006131
1000000		7006132	N	7000457	A		1		7006132
1000000		7006133	N	7000457	A		1		7006133
1000000		7006134	N	7000457	A		1		7006134
1000000		7006135	N	7000457	A		1		7006135
1000000		7006136	M	7003163	A		1		7006136
1000000		7006137	M	7003163	A		1		7006137
1000000		7006138	M	7003163	A		1		7006138
1000000		7006139	M	7003163	A		1		7006139
1000000		7006140	M	7003163	A	Small village near Florence, site of 11th-cen. church of Sant'Andrea, damaged during World War II & later restored.	1		7006140
1000000		7006141	M	7003163	A	Hill town located above Florence; was an Etruscan center, possibly founded in 8th century BCE; was conquered by Rome in 283 BCE; taken by Florence in 1125 CE; noted as home of painter Fra Angelico.	1		7006141
1000000		7006142	M	7003163	A		1		7006142
1000000		7006143	M	7003163	A		1		7006143
1000000		7006144	M	7003163	A		1		7006144
1000000		7006145	M	7003163	A		1		7006145
1000000		7006146	M	7003163	A		1		7006146
1000000		7006147	M	7003163	A		1		7006147
1000000		7006148	M	7003163	A		1		7006148
1000000		7006149	M	7003163	A		1		7006149
1000000		7006151	M	7003163	A		1		7006151
1000000		7006152	M	7003163	A		1		7006152
1000000		7006153	M	7003163	A		1		7006153
1000000		7006155	M	7003163	A		1		7006155
1000000		7006157	M	7003163	A		1		7006157
1000000		7006159	M	7003163	A		1		7006159
